Job_Title,Company_Name,Ratings,Location,Salary_Estimates,Company_Size,Founding_Year,Type,Industry,Sector,Revenue,Min_Salary,Max_Salary,Avg_Salary,Age
Product Analyst,Sciative Solutions,3.7,Navi Mumbai,4 - 9 ,51 to 200 Employees,2016,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),12.0,12.0,12.0,9
MEDICAL DATA ANALYST,OMH HealthEdge Holdings,4.0,Navi Mumbai,4 - 5 ,10000+ Employees,2003,Company - Private,Healthcare Services & Hospitals,Healthcare,$100 to $500 million (USD),4.0,4.0,4.0,22
"Business Analyst, EDI (Electronic Data Interchange)","Sensata Technologies, Inc.",3.5,Pune,4 - 10 ,10000+ Employees,1916,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 million (USD),2.0,2.0,2.0,109
Senior Analyst - Data Analysis,Tesco India,3.8,Bengaluru,6 - 10 ,10000+ Employees,1919,Company - Private,Grocery Stores,Retail and wholesale,Unknown / Non-Applicable,5.0,5.0,5.0,106
Senior Business Analyst,HSBC,3.9,Hyderābād,4 - 8 ,10000+ Employees,1865,Company - Public,Banking & Lending,Finance,$10+ billion (USD),3.0,3.0,3.0,160
Business Intelligence- MIS,5paisa Capital,3.5,Mumbai,4 - 7 ,201 to 500 Employees,-1,Company - Public,--,--,Unknown / Non-Applicable,3.0,3.0,3.0,-1
Financial Reporting Analyst,UPS India,3.5,Chennai,4 - 9 ,10000+ Employees,1907,Company - Public,Shipping & Trucking,Transportation and logistics,$10+ billion (USD),3.0,3.0,3.0,118
Senior Associate - Data Change Analyst,Macquarie Group Limited,3.8,Gurgaon,8 - 10 ,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD),35.0,35.0,35.0,56
Senior Analyst - Data Analytics,Verint Systems Inc.,4.0,Bengaluru,10 ,1001 to 5000 Employees,1994,Company - Public,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,10.0,10.0,10.0,31
Manager - Data Analytics,1 Finance,4.9,Mumbai,5 - 6 ,51 to 200 Employees,2022,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,10.0,10.0,10.0,3
